ID,Name,Type,Category,Pricing Model,Price (INR),,Price (USD),Tax Rate,Tax Included,SKU,HSN Code,SAC Code,Billing Cycle,Unit,Min Quantity,Max Quantity,Domain,Subscription Frequency,Subscription Year,Subscription Mode,Tags,Notes,Is Featured,Created At,Updated At,Status
,Research & Reviews : Journal of Agricultural Science and Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,P,199,18,NO,rrjoast-P,,,ONE_TIME,unit,1,,Agriculture,Anual,2026,Print,,,NO,2026-03-25,2026-03-25,ACTIVE
,Research & Reviews : Journal of Crop science and Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjocst-P,,,ONE_TIME,unit,1,,Agriculture,Anual,2026,Print,,,NO,2026-03-25,2026-03-25,ACTIVE
,Research & Reviews : Journal of Food Science & Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjofst-P,,,ONE_TIME,unit,1,,Agriculture,Anual,2026,Print,,,NO,2026-03-25,2026-03-25,ACTIVE
,International Journal of Trends in Horticulture (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijthc-P,,,ONE_TIME,unit,1,,Agriculture,Anual,2026,Print,,,NO,2026-03-17,2026-03-17,ACTIVE
,International Journal of Nutritions (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijn-P,,,ONE_TIME,unit,1,,Agriculture,Anual,2026,Print,,,NO,2026-03-07,2026-03-13,ACTIVE
,International Journal of Electro-Mechanics and Material Behavior (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijemb-P,,,ONE_TIME,unit,1,,Applied Mechanics,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Mechanical Dynamics and Systems Analysis (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijmdsa-P,,,ONE_TIME,unit,1,,Applied Mechanics,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Machine Systems and Manufacturing Technology (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijmsmt-P,,,ONE_TIME,unit,1,,Applied Mechanics,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Fracture Mechanics and Damage Science (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijfmds-P,,,ONE_TIME,unit,1,,Applied Mechanics,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews: Discrete Mathematical Structures (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrdms-P,,,ONE_TIME,unit,1,,Applied Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Journal of Advancements in Library Sciences (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joals-P,,,ONE_TIME,unit,1,,Applied Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Statistics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjost-P,,,ONE_TIME,unit,1,,Applied Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Physics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjophy-P,,,ONE_TIME,unit,1,,Applied Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Atmosphere (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijat-P,,,ONE_TIME,unit,1,,Applied Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Emerging Trends in Symmetry (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,etsy-P,,,ONE_TIME,unit,1,,Applied Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Recent Trends in Mathematics (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,rtm-P,,,ONE_TIME,unit,1,,Applied Sciences,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Rural and Regional Development (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijrrd-P,,,ONE_TIME,unit,1,,Architecture,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Environmental Planning and Development Architecture (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijepda-P,,,ONE_TIME,unit,1,,Architecture,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Urban Design and Development (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijudd-P,,,ONE_TIME,unit,1,,Architecture,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,International Journal of Architectural Design and Planning (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,3500,,149,18,NO,ijadp-P,,,ONE_TIME,unit,1,,Architecture,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Research & Reviews : A Journal of Ayurvedic Science, Yoga & Naturopathy (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjoasyn-P,,,ONE_TIME,unit,1,,Ayurveda,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Research & Reviews : A Journal of Unani, Siddha and Homeopathy (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjoush-P,,,ONE_TIME,unit,1,,Ayurveda,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,"Journal of AYUSH: Ayurveda, Yoga, Unani, Siddha and Homeopathy (Print)",SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,joayush-P,,,ONE_TIME,unit,1,,Ayurveda,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
,Research & Reviews : Journal of Herbal Science (Print),SIMPLE,JOURNAL_SUBSCRIPTION,FIXED,1500,,199,18,NO,rrjohs-P,,,ONE_TIME,unit,1,,Ayurveda,Anual,2026,Print,,,NO,2026-03-06,2026-03-06,ACTIVE
