Name,Code,Type,Category,Email,Phone,Website,Country,State,City,IP Range,Total Students,Total Faculty,Customer Count,Sub Count
A To Z Subscription Agency,,AGENCY,Agency,atozjsa@gmail.com,9908386890,N/A,India,Andhra Pradesh,N/A,N/A,0,0,0,0
A&A Periodical Subscription Agency,,AGENCY,Agency,aandaperiodical@gmail.com,9910939975,N/A,India,Delhi,N/A,N/A,0,0,0,0
Abloy High Security Locks Private Ltd,,AGENCY,Agency,pratima.saha@abloy.in,022-43427103,N/A,India,Haryana,N/A,N/A,0,0,0,0
Abs Informatics,,AGENCY,Agency,absinfjp@gmail.com,9929017358,N/A,India,Rajasthan,N/A,N/A,0,0,0,0
Achal Subscription Agency,,AGENCY,Agency,achalsubagency@gmail.com,7305253755,N/A,India,Tamil Nadu,N/A,N/A,0,0,0,0
Aditi Media Services,,AGENCY,Agency,amsagency@rediffmail.com,9108229330,N/A,India,Karnataka,N/A,N/A,0,0,0,0
Agrawal Book & Stationery,,AGENCY,Agency,NA,9893292581,N/A,India,U.P,N/A,N/A,0,0,0,0
Ahuja Subscription Agency,,AGENCY,Agency,ahujasubscription@gmail.com,9818088643,N/A,India,Delhi,N/A,N/A,0,0,0,0
Ajay Journals & Magazines Supplier,,AGENCY,Agency,ajmsnagpur@gmail.com,9881791190,N/A,India,Maharashtra,N/A,N/A,0,0,0,0
Ajay Publishers & Distributors,,AGENCY,Agency,"ajaypublishers@gmail.com, ajaypub.dist@rediffmail.","Ph : 0755 - 2542556 Mo : 9329770850 , 9893270574",N/A,India,MP,N/A,N/A,0,0,0,0
Ak Books,,AGENCY,Agency,akbooks2009@gmail.com,9312621987,N/A,India,Delhi,N/A,N/A,0,0,0,0
Alliance Books Suppliers Pvt.Ltd,,AGENCY,Agency,,#ERROR!,N/A,India,Delhi,N/A,N/A,0,0,0,0
Allied Informatics,,AGENCY,Agency,allied.info@yahoo.com,"9414069109 , 9829063870",N/A,India,Rajasthan,N/A,N/A,0,0,0,0
Allied Publishers Subscription Agency,,AGENCY,Agency,tmathew@alliedpublishers.com,9176107416,N/A,India,Tamilnaidu,N/A,N/A,0,0,0,0
"Allied Publishers Subscription Agency, Ahmedabad",,AGENCY,Agency,ahmbd.journals@alliedpublishers.com,079-26463775,N/A,India,Gujrat,N/A,N/A,0,0,0,0
